Product,CAGR,Period,CMGR
Dried figs ( chemical free ),,5,0.0
Dried figs ( chemical free ) / Default,,19,11.265009698341032
Dried fruit mix ( chemical free ),,5,17.744338700991193
Dried fruit mix ( chemical free ) / Default,,19,18.96506229882442
Dried grapefruit ( chemical free ),,2,22.474487139158896
Dried grapfruit ( chemical free ),,17,0.0
Dried lemongrass (chemical free ),,19,0.0
Dried lemongrass (chemical free),,4,31.60740129524924
Dried mango (chemical free),,6,44.03354933541035
Dried mango (chemical free) / Default,,19,12.193551294440685
Dried nectarine  ( chemical free ),,19,0.0
Dried nectarine (chemical free),,4,0.0
Dried peach ( chemical free ),,19,0.0
Dried peach (chemical free),,4,0.0
Dried pear ( Chemical free ),,13,16.14687826131056
Dried pears (chemical free ) / Default,,19,2.1569600815111167
Dried peppers (chemical free),,2,0.0
Dried prune with pits / 250g,,33,8.845363738044231
Dried prune with pits 250g,,5,20.683526730903257
Dried prunes (chemical free),,14,18.288382388464196
Dried soup mix (chemical free),,14,21.468234275932385
Dried strawberries ( chemical free ),,5,37.85160584338283
Dried strawberris ( chemical free ) / Default,,19,12.641515767922185
Dried tomato (chemical free),,15,26.63368164383224
Dried turkish figs / 250g,,34,11.069996969255747
Dried turkish figs 250g,,5,31.752268426001674
Drumsticks,,12,10.082139715244164
Drumsticks(chemical free),,12,15.551957111964864
Dry Hair Shampoo (0 chemical),,12,9.587269113524432
Duck,,34,11.023206454681379
Duck (Chemical free) - frozen,,4,14.499858882841487
Duck(chemical free),,11,14.872070173822639
Duck(chemical free) - frozen,,5,19.439711598544164
Dulse flakes (organic),,5,24.57309396155174
Dutch fennel ( chemical free ),,17,4.283005488256286
Earl Grey tea,,20,0.0
Early grey tea ( Ridgways ),,9,0.0
Eden Shake,,36,1.9440643702144822
Eden shake / 60g,,33,6.074020838233807
Egg replacer (vegan),,2,0.0
Eggplant - arous ( Chemical free ),,13,11.253147609648684
El Gouna delivery fee,,35,1.1652080087522387
El Katameya / Fifth settlement,,33,11.125735213576027
El Sahel El Shamali above 500 L.E,,15,13.85179164293644
El Sherouk & Madinati,,5,57.0547906927984
El Sherouk & Madinati above 200 L.E,,11,17.690395624285273
Endive,,17,22.98738922371719
Essiac tea,,31,6.1068500257261515
Exotic Fig jam,,36,3.098742495292073
Exotic peach jam,,36,3.098742495292073
Exotic strawberry jam,,36,3.098742495292073
Export organic green beans slices,,18,2.2781461820273075
Export organic green capsicum,,18,0.0
Export organic red capsicum,,18,0.0
Extra virgin olive oil 1L,,16,10.582301703023521
Extra virgin sesame oil ( organic ) / 473ml,,33,10.00539855230127
Extra virgin sesame oil ( organic ) 473ml,,4,31.60740129524924
Face and body silky cream with frangipani,,12,5.946309435929531
Face and body silky cream with vanilla,,11,6.504108943996267
Face and neck antiwrinkle cream,,12,5.946309435929531
Facial acne soap with ying yang oil,,5,28.473515712343932
Facial milkwith green tea & cucumber,,5,14.869835499703509
Facial mud scrub (dry/sensitive skin),,11,0.0
Facial serum for younger skin,,5,0.0
Facial soap with goat milk,,4,31.60740129524924
Fava beans (organic),,4,77.82794100389228
Fennel,,33,8.065191520900171
Fennel ( chemical free ),,19,7.736536891378387
Fennel (chemical free),,5,9.460878422315755
Fette Biscottate,,20,0.0
Fette croccanti ( gluten free ),,19,14.61252724694213
Figs,,37,2.507380448621621
Fine grind french sea salt-French (celtic) / 367g,,33,10.068312150638615
Finn crisp 5 wholegrains crackers,,16,9.856505999145648
