Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Veal cutlets (Kabbab 7ala),VealcutletsKabbab7ala,,NGS,Butcher,Fresh veal,,0,0,0,0,0,0,0,0,4,4,4,3,0,1,1,4,3,1,0,6,2,2,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4784,3650,1134,0.23704,0
Brown rice rotini ( American ) - gluten free - organic,00630-0,,Lundberg Family Farms,HV,Pasta,,0,0,0,0,0,0,0,0,0,7,3,7,6,3,1,1,0,12,2,4,2,7,4,0,5,4,7,6,7,4,4,6,0,0,0,0,0,0,0,0,102,4764.8,3741.75,1023.05,0.21471,0
Beef Escalope,BeefEscalope,,NGS,Butcher,Fresh beef,,0,0,0,0,0,0,0,0,2,6,3,4,1,5,4,0,1,3,3,3,4,6,4,1,3,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,58,4750.4,3232.64,1517.76,0.319502,0
Banana,Banana,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,4,14,18,25,17,30,32,16,14,21,15,26,20,13,9,15,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,4694.363487,3888.78,805.583487,0.171607,0
Salmon steak ( frozen ),Salmonfresh,,NGS,Souna,Fish,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,10,12,28,1,0,0,0,0,0,0,0,0,0,77,4652.8,4335.72,317.08,0.068148,0
All purpose baking flour ( gluten free ),39978004529,,Bob's Red Mill,Auf,Flour,,0,0,0,0,0,0,0,0,1,2,5,9,2,7,1,0,0,12,3,5,2,2,0,1,7,6,8,9,5,0,0,7,6,0,0,0,0,0,0,0,100,4648.48,3744.3,904.18,0.194511,0
Oats with maca and cocoa (organic) ? super food,221013,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,86,52,195,4587.807807,2724.84,1862.967807,0.406069,0
Whole Chicken,WholeChicken,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,0,0,0,45.16,25,20,12,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.16,4471.364,3728.18,743.184,0.16621,0
Balady eggs (organic),461002,,,Sara nour,Eggs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,73,30,197,4446,3447.5,998.5,0.224584,0
Chicken Breasts (chemical free),ChickenBreastschemicalfree,,,Yasmine organic,Chemical free poultry ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,32,0,0,0,0,0,0,0,70,4422,3272.5,1149.5,0.25995,0
Short grain brown rice ( eco farmed ) - organic,19761-9,,Lundberg Family Farms,HV,Rice,,0,0,0,0,0,0,0,0,3,6,3,5,11,5,5,0,0,7,5,5,4,0,0,1,12,9,13,0,0,7,11,4,8,0,0,0,0,0,0,0,124,4417,3472.5,944.5,0.213833,0
Unsweetened almond milk,Unsweetenedalmondmilk,,NGS,HV,Non-dairy milk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,67,30,10,1,0,0,0,0,0,0,135,4415.7,3427.67,988.03,0.223754,0
Pumpkin Seeds,130002,,Kheir Misr,IMN,Food supplements,,0,0,0,0,0,0,0,0,1,9,17,0,0,0,4,1,0,1,0,0,0,0,0,0,5,3,19,10,22,22,30,26,40,1,0,0,0,0,0,0,211,4381.8,2737.2,1644.6,0.375325,0
Almond butter (home-made),Almondbutterhome-made,,Signature,Signature,spreads,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,30,18,9,0,0,0,0,0,0,0,0,73,4380,3796,584,0.133333,0
Mushroom,6.224E+12,,NGS,Souna,Fresh vegetables,,0,0,0,0,0,0,0,0,1,16,19,35,16,19,16,13,10,15,12,10,9,16,11,14,11,12,23,14,21,37,17,0,0,0,0,0,0,0,0,0,367,4339.18,3468.99,870.19,0.200542,0
Coconut oil ( Small glass jar ),CoconutoilSmallglassjar,,NGS,HV,Oil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,22,3,0,0,0,0,0,0,0,36,4261.1,3456,805.1,0.188942,0
Top side steak (chemical free) - frozen,151012,,,El rancho,Beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,7,73,4252,3041.9,1210.1,0.284595,0
Mixed nuts (trail mix),40013,,,Auf,Nuts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1,0,87.5,4251.005,3604.275,646.73,0.152136,0
Organic Quinoa,106900,,Eden,Health Harvest,Super foods,,0,0,0,4,7,19,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4222.8,3672,550.8,0.130435,0
Low fat rice milk,90605,,Pacific Natural Foods,HV,Milk,,0,0,0,0,0,0,0,0,1,4,2,10,18,34,27,2,0,12,4,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,4201.4,3465.2,736.2,0.175227,0
